국문역명,영문역명,전산역명,전산약어,XROIS역코드,KROIS역코드,역키로정,매표단말코드,주소,노선,위도,경도,폐역여부
단촌,Danchon,단촌,단촌,3900175,022754,022620,0180,경상북도 의성군 단촌면 장터길 29-6,중앙선,36.42201476223639,128.6752752924192,예
달미,Dalmi,달미,달미,3901080,270159,270340,,경기도 안산시 단원구 선부동 481,서해선,37.34880102702674,126.80942057002116,아니오
달월,Dalwol,달월,달월,3901024,100021,100021,,경기도 시흥시 서해안로736번길 55,수인선,37.38001359907593,126.74535609921986,아니오
달천,Dalcheon,달천,달천,3900291,050789,050789,0247,충청북도 충주시 대소원면 상용두2길 15,충북선,36.96115804221475,127.87692949799496,아니오
당고개,Danggogae,당고개,당고개,3900830,940000,940000,,서울특별시 노원구 상계로 305,서울 지하철 4호선,37.6702922283885,127.079010720031,아니오
당산,Dangsan,당산,당산,3900776,910376,910376,,서울특별시 영등포구 당산로 229,서울 지하철 2호선,37.5349569673169,126.902730628008,아니오
당정,Dangjeon,당정,당정,3900043,010313,010313,,경기도 군포시 당정역로 91,경부선,37.34352358459912,126.94838315399076,아니오
대곡,Daegok,대곡,대곡,3900363,110180,110182,0392,경기도 고양시 덕양구 대주로107번길 71-81,경의선,37.631690930861545,126.81001180550666,아니오
대공원,Grand park,대공원,대공원,3900470,220105,220105,0864,경기도 과천시 막계동 289,과천선,37.43605619515058,127.00675700159466,아니오
대관령,Daegwallyeong,대관령,대관령,3901061,N10914,N10932,,,원주강릉선,37.68360096,128.70798294,아니오
대광리,Daegwang-ri,대광리,대광리,3900419,130844,130844,0417,경기도 연천군 신서면 연신로 1156,경원선,38.18378194704977,127.10818336238016,아니오
대구,Daegu,대구,대구,3900095,013239,013231,0023,대구광역시 북구 태평로 161 대구민자역사 (칠성동2가 302-155),경부선,35.87603231276374,128.59544900570864,아니오
대구기관,,대구기관,대구기,3900871,A13271,A13271,,대구광역시 동구 신암남로24길 90,,35.8819008277595,128.634584349918,아니오
대구남연결,Daegu South Connecting Line Junction,대구남연결,대구남,3900912,H12953,H12738,,대구광역시 수성구 만촌동 산 101-2,경부고속선,35.87231698171398,128.65654568661304,아니오
대구북연결,Daegu North Connecting Line Junction,대구북연결,대구북,3900888,H12718,H12597,,경상북도 칠곡군 지천면 신리,경부고속선,35.881055633,128.547456878,아니오
대구열분,,대구열분,대구열,3900020,000052,000052,,,,,,아니오
대구차량사업소,Daegu Depot,대구차량사업소,대구차량,3900979,X00010,X00010,,대구광역시 동구 신암남로24길 90,,35.8819008277595,128.634584349918,아니오
대림,Daerim,대림,대림,3900772,910326,910326,,서울특별시 구로구 도림천로 351,서울 지하철 2호선,37.4933109605293,126.894946546309,아니오
대모산입구,Daemosan,대모산입구,대모산,3900478,230094,230103,,서울특별시 강남구 개포로 지하 522,분당선,37.4915453161798,127.073168642526,아니오
대방,Daebang,대방,대방,3900028,010073,010073,0821,서울특별시 영등포구 여의대방로 300,경부선,37.5133254055904,126.926303189604,아니오
대불,Daebul,대불,대불,3900540,400120,400120,,전라남도 영암군 삼호읍 대불로 667,대불선,34.773884530331664,126.41950510041342,아니오
대성리,Daeseong-ri,대성리,대성리,3900428,140362,140324,0148,경기도 가평군 청평면 경춘로 88,경춘선,37.683873436803104,127.37941430533515,아니오
대신,Daesin,대신,대신,3900086,012643,012635,0310,경상북도 김천시 아포읍 대신길 70-14,경부선,36.152584777746206,128.1964244156116,아니오
대야,Daeya,대야,대야,3901105,320131,081411,0528,전북특별자치도 군산시 대야면 산월리 248-27,군산화물선,35.944614479535346,126.82384378796644,아니오
대야미,Daeyami,대야미,대야미,3900454,210060,210060,0851,경기도 군포시 대야1로 28,안산선,37.32796962873085,126.91689412966048,아니오
대열소,,대열소,대열소,3900009,000021,000021,,,,,,아니오
대전,Daejeon,대전,대전,3900073,011668,011663,0010,대전광역시 동구 중앙로 215,",경부선,대전",36.33211026260082,127.43465797348497,아니오
대전기관,,대전기관,대전기,3900869,A11668,A11668,,,,,,아니오
대전남연결,Daejeon South Connecting Line Junction,대전남연결,대전남,3900887,H11809,H11443,,충청북도 옥천군 옥천읍 삼청리 587-1,경부고속선,36.2622913122307,127.573254218735,아니오
대전북연결,Daejeon North Connecting Line Junction,대전북연결,대전북,3900886,H11519,H11338,,대전광역시 대덕구 신대동 산 13-6,경부고속선,36.394266719250915,127.41425160894272,아니오
대전조차장,Daejeon Marshalling Yard,대전조차장,대전조,3900072,011621,011616,0617,대전광역시 대덕구 아리랑로 166,",경부선,호남선,경부고속",36.3665956319267,127.421156569285,아니오
대전조차장차량사업소,Daejeon Marshalling Yard Depot,대전조차장차량사업소,대전조차량,3900975,X00006,X00006,,대전광역시 대덕구 아리랑로 166,,36.3665956319267,127.421156569285,아니오
대전차량,Daejeon Depot,대전차량,대전차,3901064,1U0029,1U0029,,대전광역시 대덕구 아리랑로 166,대전기지선,36.3665956319267,127.421156569285,아니오
대전차량사업소,Daejeon Depot,대전차량사업소,대전차량,3900974,X00005,X00005,,,,,,아니오
대전철도차량정비단,Daejeon Train Vehicle Maintanence Workshop,대전철도차량정비단,대전정비,3900958,A11524,A11524,,대전광역시 대덕구 벚꽃길 150,,36.42721221248296,127.43110613231403,아니오
대정,Daejeong,대정,대정,3900438,150028,150028,0418,경기도 고양시 덕양구 대장동 70-2,서울교외선,37.64128811878115,126.8211930639458,아니오
대지청,Daejeon Regional Headquarters,대지청,대지청,3900002,000002,000002,,,,,,아니오
대천,Daecheon,대천,대천,3900338,080952,080886,0083,충청남도 보령시 대해로 116,장항선,36.3416187225739,126.586412371963,아니오
대청,Daecheong,대청,대청,3900824,930323,930323,,서울특별시 강남구 일원로 지하 2,서울 지하철 3호선,37.4937222540002,127.079494059469,아니오
대치,Daechi,대치,대치,3900822,930306,930306,,서울특별시 강남구 남부순환로 지하 2952,서울 지하철 3호선,37.494562998545,127.063429717822,아니오
대화,Daehwa,대화,대화,3900503,240192,240192,0886,경기도 고양시 일산서구 중앙로 지하 1569,일산선,37.6759583899803,126.747307238172,아니오
덕계,Deokgye,덕계,덕계,3900407,130409,130406,,경기도 양주시 고덕로139번길 317,경원선,37.818773118105,127.056653707775,아니오
덕산,Deoksan,덕산,덕산,3900684,880228,740082,0233,경상남도 창원시 의창구 동읍 용잠로35번길 11,덕산선,35.2799010179915,128.68690191343,아니오
덕소,Deokso,덕소,덕소,3900122,020178,020172,0168,경기도 남양주시 와부읍 덕소로 56,중앙선,37.5868975295809,127.208818945178,아니오
덕양,Deogyang,덕양,덕양,3900275,041819,041656,0052,전라남도 여수시 소라면 여순로 56,",전라선,여천",34.8122623912955,127.6279753514614,아니오
